,Data,Model,CKA Score
0,ESOL,GCN,0.41697135358798254
1,Lipophilicity,GCN,0.28426027213875404
2,RT,GCN,0.29969191224599073
3,B3DB,GCN,0.3171469410537058
4,ESOL,GAT,0.4619508958869343
5,Lipophilicity,GAT,0.28526673050747786
6,RT,GAT,0.28862398665568895
7,B3DB,GAT,0.311683287437349
8,ESOL,GIN,0.4245621459303671
9,Lipophilicity,GIN,0.26472335626586396
10,RT,GIN,0.3082289001841556
11,B3DB,GIN,0.306574718020449
12,ESOL,GraphSAGE,0.4047079889527288
13,Lipophilicity,GraphSAGE,0.3215862613247785
14,RT,GraphSAGE,0.2966650963167948
15,B3DB,GraphSAGE,0.3355342064005085
