,Data,Model1,Model2,CKA Score
0,ESOL,GCN,GCN,0.03887284439346322
1,Lipophilicity,GCN,GCN,0.07816884739623281
2,RT,GCN,GCN,0.03743549318587444
3,B3DB,GCN,GCN,0.0665733681542654
4,ESOL,GCN,GAT,0.06614750882594848
5,Lipophilicity,GCN,GAT,0.0567540760269784
6,RT,GCN,GAT,0.021835437814977942
7,B3DB,GCN,GAT,0.05333262682372463
8,ESOL,GCN,GIN,0.03335013086184455
9,Lipophilicity,GCN,GIN,0.031129789397541997
10,RT,GCN,GIN,0.041799498183573064
11,B3DB,GCN,GIN,0.044266968964726566
12,ESOL,GCN,GraphSAGE,0.05045110699587301
13,Lipophilicity,GCN,GraphSAGE,0.060188771698026264
14,RT,GCN,GraphSAGE,0.026452275964292272
15,B3DB,GCN,GraphSAGE,0.0771763594334708
16,ESOL,GAT,GAT,0.057979967294492875
17,Lipophilicity,GAT,GAT,0.0582660056360629
18,RT,GAT,GAT,0.041568467811945356
19,B3DB,GAT,GAT,0.0593326642727838
20,ESOL,GAT,GIN,0.03604505792319848
21,Lipophilicity,GAT,GIN,0.05538168512766532
22,RT,GAT,GIN,0.02652871712658046
23,B3DB,GAT,GIN,0.04349390929441591
24,ESOL,GAT,GraphSAGE,0.05781613308292351
25,Lipophilicity,GAT,GraphSAGE,0.04006105585331947
26,RT,GAT,GraphSAGE,0.01764284234563697
27,B3DB,GAT,GraphSAGE,0.0789940059069768
28,ESOL,GIN,GIN,0.05149488656681634
29,Lipophilicity,GIN,GIN,0.03916529789537714
30,RT,GIN,GIN,0.043293556041416686
31,B3DB,GIN,GIN,0.11847748984383415
32,ESOL,GIN,GraphSAGE,0.04530232198198575
33,Lipophilicity,GIN,GraphSAGE,0.041761921559994954
34,RT,GIN,GraphSAGE,0.04169158014299826
35,B3DB,GIN,GraphSAGE,0.045919728451527024
36,ESOL,GraphSAGE,GraphSAGE,0.06203792673651517
37,Lipophilicity,GraphSAGE,GraphSAGE,0.0717737692132544
38,RT,GraphSAGE,GraphSAGE,0.04894254821229243
39,B3DB,GraphSAGE,GraphSAGE,0.06661107540754173
