,Data,Model1,Model2,MAE,RMSE,r,p-val
0,ESOL,SimpleGCN,SimpleGAT,0.99,1.29,0.82,0.0
1,FreeSolv,SimpleGCN,SimpleGAT,1.99,2.9,0.75,0.0
2,Lipophilicity,SimpleGCN,SimpleGAT,0.84,1.09,0.56,0.0
3,ESOL,SimpleGCN,SimpleGIN,1.17,1.45,0.79,0.0
4,FreeSolv,SimpleGCN,SimpleGIN,2.26,2.95,0.69,0.0
5,Lipophilicity,SimpleGCN,SimpleGIN,0.89,1.1,0.43,0.0
6,ESOL,SimpleGCN,SimpleGraphSAGE,0.97,1.27,0.81,0.0
7,FreeSolv,SimpleGCN,SimpleGraphSAGE,1.55,2.09,0.87,0.0
8,Lipophilicity,SimpleGCN,SimpleGraphSAGE,0.84,1.04,0.53,0.0
9,ESOL,SimpleGAT,SimpleGIN,1.07,1.35,0.8,0.0
10,FreeSolv,SimpleGAT,SimpleGIN,2.04,2.86,0.73,0.0
11,Lipophilicity,SimpleGAT,SimpleGIN,0.85,1.07,0.53,0.0
12,ESOL,SimpleGAT,SimpleGraphSAGE,1.01,1.31,0.81,0.0
13,FreeSolv,SimpleGAT,SimpleGraphSAGE,1.57,2.17,0.87,0.0
14,Lipophilicity,SimpleGAT,SimpleGraphSAGE,0.86,1.06,0.55,0.0
15,ESOL,SimpleGIN,SimpleGraphSAGE,1.05,1.36,0.79,0.0
16,FreeSolv,SimpleGIN,SimpleGraphSAGE,1.49,1.96,0.88,0.0
17,Lipophilicity,SimpleGIN,SimpleGraphSAGE,0.87,1.07,0.52,0.0
18,ESOL,SimpleGCN,SimpleGCN,1.03,1.32,0.81,0.0
19,FreeSolv,SimpleGCN,SimpleGCN,2.19,3.02,0.69,0.0
20,Lipophilicity,SimpleGCN,SimpleGCN,0.92,1.14,0.36,0.0
21,ESOL,SimpleGAT,SimpleGAT,1.15,1.4,0.79,0.0
22,FreeSolv,SimpleGAT,SimpleGAT,2.82,3.94,0.62,0.0
23,Lipophilicity,SimpleGAT,SimpleGAT,0.85,1.04,0.55,0.0
24,ESOL,SimpleGIN,SimpleGIN,1.06,1.37,0.78,0.0
25,FreeSolv,SimpleGIN,SimpleGIN,2.22,2.99,0.68,0.0
26,Lipophilicity,SimpleGIN,SimpleGIN,0.88,1.11,0.44,0.0
27,ESOL,SimpleGraphSAGE,SimpleGraphSAGE,0.99,1.29,0.81,0.0
28,FreeSolv,SimpleGraphSAGE,SimpleGraphSAGE,1.54,2.06,0.86,0.0
29,Lipophilicity,SimpleGraphSAGE,SimpleGraphSAGE,0.86,1.08,0.47,0.0
