,Data,Model,RMSE
0,ESOL,GCN,0.808 (0.030)
1,Lipophilicity,GCN,0.664 (0.010)
2,RT,GCN,96.170 (2.743)
3,B3DB,GCN,0.518 (0.007)
4,FreeSolv,GCN,1.288 (0.104)
5,ESOL,GAT,0.808 (0.081)
6,Lipophilicity,GAT,0.639 (0.028)
7,RT,GAT,94.734 (4.295)
8,B3DB,GAT,0.552 (0.011)
9,FreeSolv,GAT,1.736 (0.061)
10,ESOL,GIN,0.772 (0.044)
11,Lipophilicity,GIN,0.672 (0.020)
12,RT,GIN,92.344 (3.042)
13,B3DB,GIN,0.555 (0.011)
14,FreeSolv,GIN,1.461 (0.176)
15,ESOL,GraphSAGE,0.762 (0.041)
16,Lipophilicity,GraphSAGE,0.629 (0.006)
17,RT,GraphSAGE,89.477 (1.067)
18,B3DB,GraphSAGE,0.542 (0.011)
19,FreeSolv,GraphSAGE,1.352 (0.071)
