,Data,Model,Error
0,ESOL,GCN,42.478 (0.723)
1,Lipophilicity,GCN,37.381 (0.701)
2,RT,GCN,36.905 (3.212)
3,B3DB,GCN,25.472 (0.770)
4,FreeSolv,GCN,32.308 (1.256)
5,ESOL,GAT,46.018 (4.395)
6,Lipophilicity,GAT,38.095 (0.673)
7,RT,GAT,40.476 (0.891)
8,B3DB,GAT,25.157 (1.603)
9,FreeSolv,GAT,38.974 (4.038)
10,ESOL,GIN,37.463 (0.834)
11,Lipophilicity,GIN,37.381 (1.010)
12,RT,GIN,32.381 (1.875)
13,B3DB,GIN,27.673 (1.177)
14,FreeSolv,GIN,38.462 (2.512)
15,ESOL,GraphSAGE,40.708 (4.335)
16,Lipophilicity,GraphSAGE,35.714 (1.854)
17,RT,GraphSAGE,40.238 (1.468)
18,B3DB,GraphSAGE,30.818 (0.445)
19,FreeSolv,GraphSAGE,50.769 (2.176)
