,Data,Model,RMSE
0,ESOL,GCN,1.000 (0.030)
1,Lipophilicity,GCN,0.794 (0.017)
2,RT,GCN,94.879 (1.925)
3,B3DB,GCN,0.508 (0.007)
4,FreeSolv,GCN,1.346 (0.064)
5,ESOL,GAT,0.979 (0.078)
6,Lipophilicity,GAT,0.682 (0.016)
7,RT,GAT,88.417 (1.662)
8,B3DB,GAT,0.525 (0.014)
9,FreeSolv,GAT,1.355 (0.081)
10,ESOL,GIN,0.814 (0.015)
11,Lipophilicity,GIN,0.699 (0.011)
12,RT,GIN,91.739 (0.908)
13,B3DB,GIN,0.549 (0.020)
14,FreeSolv,GIN,1.022 (0.067)
15,ESOL,GraphSAGE,0.969 (0.012)
16,Lipophilicity,GraphSAGE,0.724 (0.013)
17,RT,GraphSAGE,89.927 (1.361)
18,B3DB,GraphSAGE,0.529 (0.011)
19,FreeSolv,GraphSAGE,1.247 (0.064)
