,Data,Model,n_Features,MAE,RMSE,r,p-val
0,ESOL,SimpleGCN,2,1.67,2.11,0.24,0.0
1,ESOL,SimpleGCN,4,1.45,1.87,0.52,0.0
2,ESOL,SimpleGCN,6,0.99,1.3,0.8,0.0
3,ESOL,SimpleGCN,8,1.02,1.31,0.8,0.0
4,FreeSolv,SimpleGCN,2,2.45,3.47,0.55,0.0
5,FreeSolv,SimpleGCN,4,2.16,2.96,0.7,0.0
6,FreeSolv,SimpleGCN,6,2.56,3.3,0.67,0.0
7,FreeSolv,SimpleGCN,8,2.39,2.98,0.74,0.0
8,Lipophilicity,SimpleGCN,2,0.98,1.22,,
9,Lipophilicity,SimpleGCN,4,0.94,1.18,0.27,0.0
10,Lipophilicity,SimpleGCN,6,0.92,1.16,0.34,0.0
11,Lipophilicity,SimpleGCN,8,0.92,1.14,0.36,0.0
12,ESOL,SimpleGAT,2,1.75,2.06,0.48,0.0
13,ESOL,SimpleGAT,4,1.85,2.16,0.45,0.0
14,ESOL,SimpleGAT,6,1.08,1.36,0.8,0.0
15,ESOL,SimpleGAT,8,1.23,1.5,0.8,0.0
16,FreeSolv,SimpleGAT,2,2.27,3.25,0.62,0.0
17,FreeSolv,SimpleGAT,4,2.39,3.34,0.61,0.0
18,FreeSolv,SimpleGAT,6,2.21,3.14,0.77,0.0
19,FreeSolv,SimpleGAT,8,2.79,4.01,0.51,0.0
20,Lipophilicity,SimpleGAT,2,1.01,1.33,0.3,0.0
21,Lipophilicity,SimpleGAT,4,0.93,1.15,0.34,0.0
22,Lipophilicity,SimpleGAT,6,0.87,1.11,0.5,0.0
23,Lipophilicity,SimpleGAT,8,0.87,1.13,0.55,0.0
24,ESOL,SimpleGIN,2,1.51,1.92,0.57,0.0
25,ESOL,SimpleGIN,4,1.47,1.78,0.66,0.0
26,ESOL,SimpleGIN,6,1.13,1.43,0.77,0.0
27,ESOL,SimpleGIN,8,1.03,1.34,0.79,0.0
28,FreeSolv,SimpleGIN,2,2.62,3.48,0.53,0.0
29,FreeSolv,SimpleGIN,4,2.25,3.06,0.67,0.0
30,FreeSolv,SimpleGIN,6,2.5,3.15,0.71,0.0
31,FreeSolv,SimpleGIN,8,2.32,3.23,0.68,0.0
32,Lipophilicity,SimpleGIN,2,0.94,1.17,0.29,0.0
33,Lipophilicity,SimpleGIN,4,0.89,1.12,0.42,0.0
34,Lipophilicity,SimpleGIN,6,0.89,1.1,0.43,0.0
35,Lipophilicity,SimpleGIN,8,0.88,1.09,0.46,0.0
36,ESOL,SimpleGraphSAGE,2,1.51,1.92,0.48,0.0
37,ESOL,SimpleGraphSAGE,4,1.59,1.93,0.51,0.0
38,ESOL,SimpleGraphSAGE,6,1.11,1.38,0.82,0.0
39,ESOL,SimpleGraphSAGE,8,1.08,1.42,0.79,0.0
40,FreeSolv,SimpleGraphSAGE,2,2.37,3.27,0.6,0.0
41,FreeSolv,SimpleGraphSAGE,4,1.96,2.78,0.75,0.0
42,FreeSolv,SimpleGraphSAGE,6,1.61,2.13,0.86,0.0
43,FreeSolv,SimpleGraphSAGE,8,1.47,1.87,0.89,0.0
44,Lipophilicity,SimpleGraphSAGE,2,0.94,1.17,0.3,0.0
45,Lipophilicity,SimpleGraphSAGE,4,0.9,1.13,0.4,0.0
46,Lipophilicity,SimpleGraphSAGE,6,0.95,1.15,0.48,0.0
47,Lipophilicity,SimpleGraphSAGE,8,0.91,1.11,0.48,0.0
