type,data,model,time(mean),time(std)
ML,ESOL,LR,2.527,0.086
ML,Lipophilicity,LR,4.634,0.128
ML,RT,LR,3.396,0.021
ML,B3DB,LR,1.554,0.712
ML,FreeSolv,LR,0.597,0.559
ML,ESOL,SVM,0.142,0.019
ML,Lipophilicity,SVM,1.847,0.239
ML,RT,SVM,0.205,0.027
ML,B3DB,SVM,0.104,0.012
ML,FreeSolv,SVM,0.042,0.005
ML,ESOL,RF,0.224,0.001
ML,Lipophilicity,RF,0.917,0.051
ML,RT,RF,0.283,0.003
ML,B3DB,RF,0.255,0.007
ML,FreeSolv,RF,0.155,0.001
ML,ESOL,XGB,0.233,0.083
ML,Lipophilicity,XGB,0.222,0.001
ML,RT,XGB,0.186,0.001
ML,B3DB,XGB,0.171,0.002
ML,FreeSolv,XGB,0.145,0.001
GNN,ESOL,GCN,30.057,1.563
GNN,Lipophilicity,GCN,76.116,8.211
GNN,RT,GCN,12.476,7.773
GNN,B3DB,GCN,10.377,2.642
GNN,FreeSolv,GCN,10.215,3.268
GNN,ESOL,GAT,17.044,2.841
GNN,Lipophilicity,GAT,197.515,42.098
GNN,RT,GAT,52.921,10.851
GNN,B3DB,GAT,29.730,10.833
GNN,FreeSolv,GAT,25.075,2.760
GNN,ESOL,GIN,20.596,2.032
GNN,Lipophilicity,GIN,106.811,14.921
GNN,RT,GIN,33.672,11.866
GNN,B3DB,GIN,15.197,4.249
GNN,FreeSolv,GIN,11.812,2.924
GNN,ESOL,GraphSAGE,35.400,9.570
GNN,Lipophilicity,GraphSAGE,191.407,16.753
GNN,RT,GraphSAGE,45.992,8.629
GNN,B3DB,GraphSAGE,19.022,0.676
GNN,FreeSolv,GraphSAGE,25.839,9.387
