LR,Hidden_Layer,Batch_Size,MAE,RMSE,r,Model
0.01,16.0,4.0,1.78,2.18,0.73,SimpleGCN
0.01,16.0,8.0,1.03,1.34,0.77,SimpleGCN
0.01,16.0,16.0,1.13,1.47,0.74,SimpleGCN
0.01,16.0,32.0,1.03,1.29,0.76,SimpleGCN
0.01,32.0,4.0,1.08,1.4,0.75,SimpleGCN
0.01,32.0,8.0,0.98,1.27,0.77,SimpleGCN
0.01,32.0,16.0,1.0,1.27,0.76,SimpleGCN
0.01,32.0,32.0,0.98,1.2,0.79,SimpleGCN
0.01,64.0,4.0,1.06,1.35,0.75,SimpleGCN
0.01,64.0,8.0,1.22,1.6,0.76,SimpleGCN
0.01,64.0,16.0,1.4,1.78,0.76,SimpleGCN
0.01,64.0,32.0,0.99,1.26,0.76,SimpleGCN
0.01,128.0,4.0,1.02,1.31,0.77,SimpleGCN
0.01,128.0,8.0,1.0,1.22,0.78,SimpleGCN
0.01,128.0,16.0,1.05,1.33,0.74,SimpleGCN
0.01,128.0,32.0,1.24,1.47,0.78,SimpleGCN
0.005,16.0,4.0,0.99,1.22,0.8,SimpleGCN
0.005,16.0,8.0,1.1,1.32,0.79,SimpleGCN
0.005,16.0,16.0,1.03,1.35,0.74,SimpleGCN
0.005,16.0,32.0,1.11,1.35,0.75,SimpleGCN
0.005,32.0,4.0,1.07,1.31,0.78,SimpleGCN
0.005,32.0,8.0,1.05,1.28,0.77,SimpleGCN
0.005,32.0,16.0,1.24,1.49,0.76,SimpleGCN
0.005,32.0,32.0,1.21,1.44,0.77,SimpleGCN
0.005,64.0,4.0,0.97,1.19,0.81,SimpleGCN
0.005,64.0,8.0,0.99,1.26,0.78,SimpleGCN
0.005,64.0,16.0,1.16,1.39,0.79,SimpleGCN
0.005,64.0,32.0,1.0,1.21,0.8,SimpleGCN
0.005,128.0,4.0,0.94,1.19,0.81,SimpleGCN
0.005,128.0,8.0,1.15,1.39,0.79,SimpleGCN
0.005,128.0,16.0,0.96,1.24,0.79,SimpleGCN
0.005,128.0,32.0,0.99,1.29,0.78,SimpleGCN
0.001,16.0,4.0,1.21,1.46,0.69,SimpleGCN
0.001,16.0,8.0,1.21,1.53,0.65,SimpleGCN
0.001,16.0,16.0,1.31,1.62,0.55,SimpleGCN
0.001,16.0,32.0,1.34,1.67,0.52,SimpleGCN
0.001,32.0,4.0,1.23,1.46,0.76,SimpleGCN
0.001,32.0,8.0,1.26,1.5,0.72,SimpleGCN
0.001,32.0,16.0,1.34,1.6,0.7,SimpleGCN
0.001,32.0,32.0,1.33,1.62,0.58,SimpleGCN
0.001,64.0,4.0,1.17,1.39,0.76,SimpleGCN
0.001,64.0,8.0,1.14,1.35,0.76,SimpleGCN
0.001,64.0,16.0,1.14,1.41,0.68,SimpleGCN
0.001,64.0,32.0,1.16,1.43,0.69,SimpleGCN
