Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
B3DB,GCN,32,16,0.001,0.0001,0.2,2,0.58,0.72
B3DB,GCN,32,16,0.001,0.0001,0.2,3,0.59,0.73
B3DB,GCN,32,16,0.001,0.0001,0.2,4,0.53,0.64
B3DB,GCN,32,16,0.001,0.0001,0.5,2,0.58,0.7
B3DB,GCN,32,16,0.001,0.0001,0.5,3,0.52,0.65
B3DB,GCN,32,16,0.001,0.0001,0.5,4,0.55,0.7
B3DB,GCN,32,16,0.001,1e-05,0.2,2,0.53,0.65
B3DB,GCN,32,16,0.001,1e-05,0.2,3,0.59,0.71
B3DB,GCN,32,16,0.001,1e-05,0.2,4,0.58,0.72
B3DB,GCN,32,16,0.001,1e-05,0.5,2,0.52,0.65
B3DB,GCN,32,16,0.001,1e-05,0.5,3,0.56,0.71
B3DB,GCN,32,16,0.001,1e-05,0.5,4,0.57,0.66
B3DB,GCN,32,32,0.001,0.0001,0.2,2,0.6,0.71
B3DB,GCN,32,32,0.001,0.0001,0.2,3,0.54,0.67
B3DB,GCN,32,32,0.001,0.0001,0.2,4,0.59,0.72
B3DB,GCN,32,32,0.001,0.0001,0.5,2,0.6,0.73
B3DB,GCN,32,32,0.001,0.0001,0.5,3,0.62,0.76
B3DB,GCN,32,32,0.001,0.0001,0.5,4,0.59,0.71
B3DB,GCN,32,32,0.001,1e-05,0.2,2,0.62,0.72
B3DB,GCN,32,32,0.001,1e-05,0.2,3,0.6,0.73
B3DB,GCN,32,32,0.001,1e-05,0.2,4,0.6,0.74
B3DB,GCN,32,32,0.001,1e-05,0.5,2,0.57,0.69
B3DB,GCN,32,32,0.001,1e-05,0.5,3,0.58,0.71
B3DB,GCN,32,32,0.001,1e-05,0.5,4,0.61,0.73
B3DB,GCN,64,16,0.001,0.0001,0.2,2,0.58,0.7
B3DB,GCN,64,16,0.001,0.0001,0.2,3,0.61,0.75
B3DB,GCN,64,16,0.001,0.0001,0.2,4,0.53,0.64
B3DB,GCN,64,16,0.001,0.0001,0.5,2,0.58,0.71
B3DB,GCN,64,16,0.001,0.0001,0.5,3,0.6,0.72
B3DB,GCN,64,16,0.001,0.0001,0.5,4,0.58,0.74
B3DB,GCN,64,16,0.001,1e-05,0.2,2,0.5,0.64
B3DB,GCN,64,16,0.001,1e-05,0.2,3,0.54,0.65
B3DB,GCN,64,16,0.001,1e-05,0.2,4,0.57,0.7
B3DB,GCN,64,16,0.001,1e-05,0.5,2,0.6,0.71
B3DB,GCN,64,16,0.001,1e-05,0.5,3,0.56,0.68
B3DB,GCN,64,16,0.001,1e-05,0.5,4,0.59,0.7
B3DB,GCN,64,32,0.001,0.0001,0.2,2,0.59,0.71
B3DB,GCN,64,32,0.001,0.0001,0.2,3,0.53,0.66
B3DB,GCN,64,32,0.001,0.0001,0.2,4,0.55,0.68
B3DB,GCN,64,32,0.001,0.0001,0.5,2,0.6,0.72
B3DB,GCN,64,32,0.001,0.0001,0.5,3,0.59,0.71
B3DB,GCN,64,32,0.001,0.0001,0.5,4,0.61,0.73
B3DB,GCN,64,32,0.001,1e-05,0.2,2,0.6,0.74
B3DB,GCN,64,32,0.001,1e-05,0.2,3,0.58,0.68
B3DB,GCN,64,32,0.001,1e-05,0.2,4,0.59,0.74
B3DB,GCN,64,32,0.001,1e-05,0.5,2,0.57,0.7
B3DB,GCN,64,32,0.001,1e-05,0.5,3,0.59,0.73
B3DB,GCN,64,32,0.001,1e-05,0.5,4,0.61,0.78
B3DB,GCN,32,16,0.0005,0.0001,0.2,2,0.59,0.74
B3DB,GCN,32,16,0.0005,0.0001,0.2,3,0.6,0.73
B3DB,GCN,32,16,0.0005,0.0001,0.2,4,0.58,0.73
B3DB,GCN,32,16,0.0005,0.0001,0.5,2,0.58,0.71
B3DB,GCN,32,16,0.0005,0.0001,0.5,3,0.61,0.73
B3DB,GCN,32,16,0.0005,0.0001,0.5,4,0.59,0.73
