Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
ESOL,GCN,32,16,0.001,0.0001,0.2,2,0.99,1.29
ESOL,GCN,32,16,0.001,0.0001,0.2,3,0.92,1.18
ESOL,GCN,32,16,0.001,0.0001,0.2,4,1.08,1.34
ESOL,GCN,32,16,0.001,0.0001,0.5,2,1.1,1.39
ESOL,GCN,32,16,0.001,0.0001,0.5,3,0.95,1.21
ESOL,GCN,32,16,0.001,0.0001,0.5,4,0.92,1.18
ESOL,GCN,32,16,0.001,1e-05,0.2,2,0.94,1.2
ESOL,GCN,32,16,0.001,1e-05,0.2,3,0.94,1.27
ESOL,GCN,32,16,0.001,1e-05,0.2,4,0.97,1.32
ESOL,GCN,32,16,0.001,1e-05,0.5,2,1.06,1.3
ESOL,GCN,32,16,0.001,1e-05,0.5,3,0.88,1.15
ESOL,GCN,32,16,0.001,1e-05,0.5,4,0.97,1.29
ESOL,GCN,32,32,0.001,0.0001,0.2,2,1.21,1.47
ESOL,GCN,32,32,0.001,0.0001,0.2,3,1.0,1.26
ESOL,GCN,32,32,0.001,0.0001,0.2,4,0.97,1.29
ESOL,GCN,32,32,0.001,0.0001,0.5,2,0.99,1.34
ESOL,GCN,32,32,0.001,0.0001,0.5,3,1.26,1.47
ESOL,GCN,32,32,0.001,0.0001,0.5,4,1.03,1.39
ESOL,GCN,32,32,0.001,1e-05,0.2,2,0.97,1.26
ESOL,GCN,32,32,0.001,1e-05,0.2,3,0.99,1.35
ESOL,GCN,32,32,0.001,1e-05,0.2,4,1.05,1.38
ESOL,GCN,32,32,0.001,1e-05,0.5,2,1.11,1.37
ESOL,GCN,32,32,0.001,1e-05,0.5,3,1.0,1.34
ESOL,GCN,32,32,0.001,1e-05,0.5,4,1.03,1.35
ESOL,GCN,64,16,0.001,0.0001,0.2,2,0.99,1.23
ESOL,GCN,64,16,0.001,0.0001,0.2,3,1.17,1.48
ESOL,GCN,64,16,0.001,0.0001,0.2,4,0.94,1.21
ESOL,GCN,64,16,0.001,0.0001,0.5,2,1.24,1.46
ESOL,GCN,64,16,0.001,0.0001,0.5,3,1.0,1.31
ESOL,GCN,64,16,0.001,0.0001,0.5,4,1.0,1.29
ESOL,GCN,64,16,0.001,1e-05,0.2,2,1.04,1.26
ESOL,GCN,64,16,0.001,1e-05,0.2,3,0.85,1.12
ESOL,GCN,64,16,0.001,1e-05,0.2,4,0.89,1.18
ESOL,GCN,64,16,0.001,1e-05,0.5,2,0.86,1.1
ESOL,GCN,64,16,0.001,1e-05,0.5,3,0.92,1.16
ESOL,GCN,64,16,0.001,1e-05,0.5,4,0.92,1.21
ESOL,GCN,64,32,0.001,0.0001,0.2,2,0.97,1.26
ESOL,GCN,64,32,0.001,0.0001,0.2,3,0.96,1.21
ESOL,GCN,64,32,0.001,0.0001,0.2,4,1.02,1.34
ESOL,GCN,64,32,0.001,0.0001,0.5,2,1.41,1.65
ESOL,GCN,64,32,0.001,0.0001,0.5,3,1.08,1.48
ESOL,GCN,64,32,0.001,0.0001,0.5,4,0.99,1.32
ESOL,GCN,64,32,0.001,1e-05,0.2,2,0.91,1.16
ESOL,GCN,64,32,0.001,1e-05,0.2,3,0.94,1.24
ESOL,GCN,64,32,0.001,1e-05,0.2,4,0.98,1.24
ESOL,GCN,64,32,0.001,1e-05,0.5,2,0.99,1.25
ESOL,GCN,64,32,0.001,1e-05,0.5,3,1.0,1.24
ESOL,GCN,64,32,0.001,1e-05,0.5,4,1.0,1.36
ESOL,GCN,32,16,0.0005,0.0001,0.2,2,0.98,1.23
ESOL,GCN,32,16,0.0005,0.0001,0.2,3,1.08,1.33
ESOL,GCN,32,16,0.0005,0.0001,0.2,4,0.86,1.13
ESOL,GCN,32,16,0.0005,0.0001,0.5,2,1.0,1.33
ESOL,GCN,32,16,0.0005,0.0001,0.5,3,0.91,1.19
ESOL,GCN,32,16,0.0005,0.0001,0.5,4,0.92,1.22
ESOL,GCN,32,16,0.0005,1e-05,0.2,2,0.87,1.15
ESOL,GCN,32,16,0.0005,1e-05,0.2,3,1.04,1.26
ESOL,GCN,32,16,0.0005,1e-05,0.2,4,0.93,1.25
ESOL,GCN,32,16,0.0005,1e-05,0.5,2,1.04,1.36
ESOL,GCN,32,16,0.0005,1e-05,0.5,3,0.95,1.23
ESOL,GCN,32,16,0.0005,1e-05,0.5,4,1.09,1.43
ESOL,GCN,32,32,0.0005,0.0001,0.2,2,0.97,1.29
ESOL,GCN,32,32,0.0005,0.0001,0.2,3,1.06,1.28
ESOL,GCN,32,32,0.0005,0.0001,0.2,4,0.99,1.23
ESOL,GCN,32,32,0.0005,0.0001,0.5,2,1.17,1.49
ESOL,GCN,32,32,0.0005,0.0001,0.5,3,1.09,1.37
ESOL,GCN,32,32,0.0005,0.0001,0.5,4,1.07,1.38
ESOL,GCN,32,32,0.0005,1e-05,0.2,2,1.21,1.54
ESOL,GCN,32,32,0.0005,1e-05,0.2,3,1.06,1.42
ESOL,GCN,32,32,0.0005,1e-05,0.2,4,1.19,1.42
ESOL,GCN,32,32,0.0005,1e-05,0.5,2,1.54,1.94
ESOL,GCN,32,32,0.0005,1e-05,0.5,3,1.05,1.29
ESOL,GCN,32,32,0.0005,1e-05,0.5,4,0.97,1.35
ESOL,GCN,64,16,0.0005,0.0001,0.2,2,1.04,1.39
ESOL,GCN,64,16,0.0005,0.0001,0.2,3,1.02,1.26
ESOL,GCN,64,16,0.0005,0.0001,0.2,4,1.05,1.41
ESOL,GCN,64,16,0.0005,0.0001,0.5,2,0.86,1.15
ESOL,GCN,64,16,0.0005,0.0001,0.5,3,0.95,1.23
ESOL,GCN,64,16,0.0005,0.0001,0.5,4,0.84,1.12
ESOL,GCN,64,16,0.0005,1e-05,0.2,2,0.85,1.08
ESOL,GCN,64,16,0.0005,1e-05,0.2,3,0.89,1.1
ESOL,GCN,64,16,0.0005,1e-05,0.2,4,0.96,1.29
ESOL,GCN,64,16,0.0005,1e-05,0.5,2,1.14,1.36
ESOL,GCN,64,16,0.0005,1e-05,0.5,3,0.92,1.2
ESOL,GCN,64,16,0.0005,1e-05,0.5,4,0.93,1.18
ESOL,GCN,64,32,0.0005,0.0001,0.2,2,1.09,1.32
ESOL,GCN,64,32,0.0005,0.0001,0.2,3,1.24,1.7
ESOL,GCN,64,32,0.0005,0.0001,0.2,4,0.97,1.28
ESOL,GCN,64,32,0.0005,0.0001,0.5,2,0.94,1.21
ESOL,GCN,64,32,0.0005,0.0001,0.5,3,1.05,1.3
ESOL,GCN,64,32,0.0005,0.0001,0.5,4,1.0,1.3
ESOL,GCN,64,32,0.0005,1e-05,0.2,2,1.15,1.4
ESOL,GCN,64,32,0.0005,1e-05,0.2,3,0.97,1.2
ESOL,GCN,64,32,0.0005,1e-05,0.2,4,0.91,1.21
ESOL,GCN,64,32,0.0005,1e-05,0.5,2,1.11,1.37
ESOL,GCN,64,32,0.0005,1e-05,0.5,3,1.01,1.29
ESOL,GCN,64,32,0.0005,1e-05,0.5,4,0.97,1.26
ESOL,GAT,32,16,0.001,0.0001,0.2,2,0.82,1.04
ESOL,GAT,32,16,0.001,0.0001,0.2,3,0.81,1.03
ESOL,GAT,32,16,0.001,0.0001,0.2,4,0.77,1.0
ESOL,GAT,32,16,0.001,0.0001,0.5,2,0.82,1.05
ESOL,GAT,32,16,0.001,0.0001,0.5,3,0.81,1.04
ESOL,GAT,32,16,0.001,0.0001,0.5,4,0.72,0.94
ESOL,GAT,32,16,0.001,1e-05,0.2,2,0.88,1.12
ESOL,GAT,32,16,0.001,1e-05,0.2,3,0.98,1.26
ESOL,GAT,32,16,0.001,1e-05,0.2,4,1.11,1.42
ESOL,GAT,32,16,0.001,1e-05,0.5,2,0.87,1.12
ESOL,GAT,32,16,0.001,1e-05,0.5,3,1.12,1.5
ESOL,GAT,32,16,0.001,1e-05,0.5,4,0.81,1.06
