Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
B3DB,GCN,32,16,0.001,0.0001,0.2,2,0.47,0.64
B3DB,GCN,32,16,0.001,0.0001,0.2,3,0.47,0.65
B3DB,GCN,32,16,0.001,0.0001,0.2,4,0.45,0.62
B3DB,GCN,32,16,0.001,0.0001,0.5,2,0.48,0.65
B3DB,GCN,32,16,0.001,0.0001,0.5,3,0.46,0.62
B3DB,GCN,32,16,0.001,0.0001,0.5,4,0.46,0.63
B3DB,GCN,32,16,0.001,1e-05,0.2,2,0.45,0.62
B3DB,GCN,32,16,0.001,1e-05,0.2,3,0.46,0.62
B3DB,GCN,32,16,0.001,1e-05,0.2,4,0.46,0.64
B3DB,GCN,32,16,0.001,1e-05,0.5,2,0.47,0.62
B3DB,GCN,32,16,0.001,1e-05,0.5,3,0.47,0.64
B3DB,GCN,32,16,0.001,1e-05,0.5,4,0.46,0.64
B3DB,GCN,32,32,0.001,0.0001,0.2,2,0.46,0.63
B3DB,GCN,32,32,0.001,0.0001,0.2,3,0.45,0.63
B3DB,GCN,32,32,0.001,0.0001,0.2,4,0.47,0.63
B3DB,GCN,32,32,0.001,0.0001,0.5,2,0.47,0.63
B3DB,GCN,32,32,0.001,0.0001,0.5,3,0.46,0.63
B3DB,GCN,32,32,0.001,0.0001,0.5,4,0.46,0.63
B3DB,GCN,32,32,0.001,1e-05,0.2,2,0.45,0.63
B3DB,GCN,32,32,0.001,1e-05,0.2,3,0.46,0.64
B3DB,GCN,32,32,0.001,1e-05,0.2,4,0.45,0.61
B3DB,GCN,32,32,0.001,1e-05,0.5,2,0.44,0.63
B3DB,GCN,32,32,0.001,1e-05,0.5,3,0.45,0.63
B3DB,GCN,32,32,0.001,1e-05,0.5,4,0.45,0.63
B3DB,GCN,64,16,0.001,0.0001,0.2,2,0.46,0.62
B3DB,GCN,64,16,0.001,0.0001,0.2,3,0.46,0.63
B3DB,GCN,64,16,0.001,0.0001,0.2,4,0.44,0.6
B3DB,GCN,64,16,0.001,0.0001,0.5,2,0.45,0.62
B3DB,GCN,64,16,0.001,0.0001,0.5,3,0.46,0.62
B3DB,GCN,64,16,0.001,0.0001,0.5,4,0.45,0.62
B3DB,GCN,64,16,0.001,1e-05,0.2,2,0.45,0.62
B3DB,GCN,64,16,0.001,1e-05,0.2,3,0.45,0.62
B3DB,GCN,64,16,0.001,1e-05,0.2,4,0.44,0.61
B3DB,GCN,64,16,0.001,1e-05,0.5,2,0.45,0.62
B3DB,GCN,64,16,0.001,1e-05,0.5,3,0.44,0.6
B3DB,GCN,64,16,0.001,1e-05,0.5,4,0.46,0.62
B3DB,GCN,64,32,0.001,0.0001,0.2,2,0.45,0.63
B3DB,GCN,64,32,0.001,0.0001,0.2,3,0.45,0.62
B3DB,GCN,64,32,0.001,0.0001,0.2,4,0.45,0.62
B3DB,GCN,64,32,0.001,0.0001,0.5,2,0.45,0.62
B3DB,GCN,64,32,0.001,0.0001,0.5,3,0.43,0.6
B3DB,GCN,64,32,0.001,0.0001,0.5,4,0.45,0.62
B3DB,GCN,64,32,0.001,1e-05,0.2,2,0.45,0.62
B3DB,GCN,64,32,0.001,1e-05,0.2,3,0.46,0.61
B3DB,GCN,64,32,0.001,1e-05,0.2,4,0.44,0.62
B3DB,GCN,64,32,0.001,1e-05,0.5,2,0.45,0.62
B3DB,GCN,64,32,0.001,1e-05,0.5,3,0.45,0.6
B3DB,GCN,64,32,0.001,1e-05,0.5,4,0.46,0.63
B3DB,GCN,32,16,0.0005,0.0001,0.2,2,0.47,0.64
B3DB,GCN,32,16,0.0005,0.0001,0.2,3,0.46,0.62
B3DB,GCN,32,16,0.0005,0.0001,0.2,4,0.46,0.64
B3DB,GCN,32,16,0.0005,0.0001,0.5,2,0.45,0.63
B3DB,GCN,32,16,0.0005,0.0001,0.5,3,0.45,0.62
B3DB,GCN,32,16,0.0005,0.0001,0.5,4,0.45,0.63
B3DB,GCN,32,16,0.0005,1e-05,0.2,2,0.46,0.61
B3DB,GCN,32,16,0.0005,1e-05,0.2,3,0.46,0.64
B3DB,GCN,32,16,0.0005,1e-05,0.2,4,0.46,0.63
B3DB,GCN,32,16,0.0005,1e-05,0.5,2,0.47,0.62
B3DB,GCN,32,16,0.0005,1e-05,0.5,3,0.44,0.61
B3DB,GCN,32,16,0.0005,1e-05,0.5,4,0.46,0.63
B3DB,GCN,32,32,0.0005,0.0001,0.2,2,0.47,0.64
B3DB,GCN,32,32,0.0005,0.0001,0.2,3,0.45,0.62
B3DB,GCN,32,32,0.0005,0.0001,0.2,4,0.46,0.61
B3DB,GCN,32,32,0.0005,0.0001,0.5,2,0.45,0.61
B3DB,GCN,32,32,0.0005,0.0001,0.5,3,0.45,0.62
B3DB,GCN,32,32,0.0005,0.0001,0.5,4,0.46,0.63
B3DB,GCN,32,32,0.0005,1e-05,0.2,2,0.45,0.64
B3DB,GCN,32,32,0.0005,1e-05,0.2,3,0.47,0.63
B3DB,GCN,32,32,0.0005,1e-05,0.2,4,0.45,0.62
B3DB,GCN,32,32,0.0005,1e-05,0.5,2,0.45,0.62
B3DB,GCN,32,32,0.0005,1e-05,0.5,3,0.44,0.63
B3DB,GCN,32,32,0.0005,1e-05,0.5,4,0.46,0.63
B3DB,GCN,64,16,0.0005,0.0001,0.2,2,0.45,0.62
B3DB,GCN,64,16,0.0005,0.0001,0.2,3,0.44,0.6
B3DB,GCN,64,16,0.0005,0.0001,0.2,4,0.46,0.63
B3DB,GCN,64,16,0.0005,0.0001,0.5,2,0.45,0.62
B3DB,GCN,64,16,0.0005,0.0001,0.5,3,0.45,0.62
B3DB,GCN,64,16,0.0005,0.0001,0.5,4,0.46,0.63
B3DB,GCN,64,16,0.0005,1e-05,0.2,2,0.47,0.63
B3DB,GCN,64,16,0.0005,1e-05,0.2,3,0.46,0.63
B3DB,GCN,64,16,0.0005,1e-05,0.2,4,0.45,0.62
B3DB,GCN,64,16,0.0005,1e-05,0.5,2,0.44,0.61
B3DB,GCN,64,16,0.0005,1e-05,0.5,3,0.45,0.63
B3DB,GCN,64,16,0.0005,1e-05,0.5,4,0.45,0.61
B3DB,GCN,64,32,0.0005,0.0001,0.2,2,0.44,0.61
B3DB,GCN,64,32,0.0005,0.0001,0.2,3,0.44,0.61
B3DB,GCN,64,32,0.0005,0.0001,0.2,4,0.46,0.64
B3DB,GCN,64,32,0.0005,0.0001,0.5,2,0.45,0.61
B3DB,GCN,64,32,0.0005,0.0001,0.5,3,0.46,0.64
B3DB,GCN,64,32,0.0005,0.0001,0.5,4,0.44,0.61
B3DB,GCN,64,32,0.0005,1e-05,0.2,2,0.46,0.62
B3DB,GCN,64,32,0.0005,1e-05,0.2,3,0.45,0.61
B3DB,GCN,64,32,0.0005,1e-05,0.2,4,0.46,0.63
B3DB,GCN,64,32,0.0005,1e-05,0.5,2,0.44,0.62
B3DB,GCN,64,32,0.0005,1e-05,0.5,3,0.46,0.62
B3DB,GCN,64,32,0.0005,1e-05,0.5,4,0.44,0.62
B3DB,GAT,32,16,0.001,0.0001,0.2,2,0.45,0.63
B3DB,GAT,32,16,0.001,0.0001,0.2,3,0.47,0.63
B3DB,GAT,32,16,0.001,0.0001,0.2,4,0.45,0.62
B3DB,GAT,32,16,0.001,0.0001,0.5,2,0.46,0.62
B3DB,GAT,32,16,0.001,0.0001,0.5,3,0.46,0.64
B3DB,GAT,32,16,0.001,0.0001,0.5,4,0.47,0.64
B3DB,GAT,32,16,0.001,1e-05,0.2,2,0.46,0.62
B3DB,GAT,32,16,0.001,1e-05,0.2,3,0.46,0.63
B3DB,GAT,32,16,0.001,1e-05,0.2,4,0.46,0.64
B3DB,GAT,32,16,0.001,1e-05,0.5,2,0.47,0.64
B3DB,GAT,32,16,0.001,1e-05,0.5,3,0.45,0.61
B3DB,GAT,32,16,0.001,1e-05,0.5,4,0.45,0.62
B3DB,GAT,32,32,0.001,0.0001,0.2,2,0.45,0.63
B3DB,GAT,32,32,0.001,0.0001,0.2,3,0.49,0.64
B3DB,GAT,32,32,0.001,0.0001,0.2,4,0.46,0.62
B3DB,GAT,32,32,0.001,0.0001,0.5,2,0.45,0.64
B3DB,GAT,32,32,0.001,0.0001,0.5,3,0.49,0.65
B3DB,GAT,32,32,0.001,0.0001,0.5,4,0.47,0.64
B3DB,GAT,32,32,0.001,1e-05,0.2,2,0.47,0.65
B3DB,GAT,32,32,0.001,1e-05,0.2,3,0.44,0.62
B3DB,GAT,32,32,0.001,1e-05,0.2,4,0.47,0.64
B3DB,GAT,32,32,0.001,1e-05,0.5,2,0.45,0.63
B3DB,GAT,32,32,0.001,1e-05,0.5,3,0.46,0.63
B3DB,GAT,32,32,0.001,1e-05,0.5,4,0.45,0.62
B3DB,GAT,64,16,0.001,0.0001,0.2,2,0.44,0.6
B3DB,GAT,64,16,0.001,0.0001,0.2,3,0.44,0.6
B3DB,GAT,64,16,0.001,0.0001,0.2,4,0.46,0.63
B3DB,GAT,64,16,0.001,0.0001,0.5,2,0.44,0.61
B3DB,GAT,64,16,0.001,0.0001,0.5,3,0.44,0.61
B3DB,GAT,64,16,0.001,0.0001,0.5,4,0.45,0.61
B3DB,GAT,64,16,0.001,1e-05,0.2,2,0.46,0.63
B3DB,GAT,64,16,0.001,1e-05,0.2,3,0.46,0.63
B3DB,GAT,64,16,0.001,1e-05,0.2,4,0.45,0.62
B3DB,GAT,64,16,0.001,1e-05,0.5,2,0.45,0.6
B3DB,GAT,64,16,0.001,1e-05,0.5,3,0.45,0.61
B3DB,GAT,64,16,0.001,1e-05,0.5,4,0.47,0.63
B3DB,GAT,64,32,0.001,0.0001,0.2,2,0.47,0.63
B3DB,GAT,64,32,0.001,0.0001,0.2,3,0.44,0.62
B3DB,GAT,64,32,0.001,0.0001,0.2,4,0.43,0.6
B3DB,GAT,64,32,0.001,0.0001,0.5,2,0.46,0.63
B3DB,GAT,64,32,0.001,0.0001,0.5,3,0.45,0.61
B3DB,GAT,64,32,0.001,0.0001,0.5,4,0.45,0.62
B3DB,GAT,64,32,0.001,1e-05,0.2,2,0.45,0.61
B3DB,GAT,64,32,0.001,1e-05,0.2,3,0.45,0.61
B3DB,GAT,64,32,0.001,1e-05,0.2,4,0.45,0.61
B3DB,GAT,64,32,0.001,1e-05,0.5,2,0.46,0.62
B3DB,GAT,64,32,0.001,1e-05,0.5,3,0.46,0.61
B3DB,GAT,64,32,0.001,1e-05,0.5,4,0.45,0.62
B3DB,GAT,32,16,0.0005,0.0001,0.2,2,0.45,0.61
B3DB,GAT,32,16,0.0005,0.0001,0.2,3,0.45,0.63
B3DB,GAT,32,16,0.0005,0.0001,0.2,4,0.45,0.63
B3DB,GAT,32,16,0.0005,0.0001,0.5,2,0.45,0.62
B3DB,GAT,32,16,0.0005,0.0001,0.5,3,0.47,0.63
B3DB,GAT,32,16,0.0005,0.0001,0.5,4,0.47,0.65
B3DB,GAT,32,16,0.0005,1e-05,0.2,2,0.46,0.63
B3DB,GAT,32,16,0.0005,1e-05,0.2,3,0.47,0.62
B3DB,GAT,32,16,0.0005,1e-05,0.2,4,0.47,0.65
B3DB,GAT,32,16,0.0005,1e-05,0.5,2,0.45,0.62
B3DB,GAT,32,16,0.0005,1e-05,0.5,3,0.45,0.63
B3DB,GAT,32,16,0.0005,1e-05,0.5,4,0.48,0.64
B3DB,GAT,32,32,0.0005,0.0001,0.2,2,0.46,0.63
B3DB,GAT,32,32,0.0005,0.0001,0.2,3,0.46,0.64
B3DB,GAT,32,32,0.0005,0.0001,0.2,4,0.46,0.65
B3DB,GAT,32,32,0.0005,0.0001,0.5,2,0.46,0.61
B3DB,GAT,32,32,0.0005,0.0001,0.5,3,0.44,0.61
B3DB,GAT,32,32,0.0005,0.0001,0.5,4,0.46,0.63
B3DB,GAT,32,32,0.0005,1e-05,0.2,2,0.47,0.62
B3DB,GAT,32,32,0.0005,1e-05,0.2,3,0.45,0.62
B3DB,GAT,32,32,0.0005,1e-05,0.2,4,0.46,0.63
B3DB,GAT,32,32,0.0005,1e-05,0.5,2,0.46,0.63
B3DB,GAT,32,32,0.0005,1e-05,0.5,3,0.44,0.62
B3DB,GAT,32,32,0.0005,1e-05,0.5,4,0.46,0.63
B3DB,GAT,64,16,0.0005,0.0001,0.2,2,0.46,0.63
B3DB,GAT,64,16,0.0005,0.0001,0.2,3,0.46,0.63
B3DB,GAT,64,16,0.0005,0.0001,0.2,4,0.47,0.64
B3DB,GAT,64,16,0.0005,0.0001,0.5,2,0.46,0.64
B3DB,GAT,64,16,0.0005,0.0001,0.5,3,0.45,0.62
B3DB,GAT,64,16,0.0005,0.0001,0.5,4,0.47,0.63
B3DB,GAT,64,16,0.0005,1e-05,0.2,2,0.49,0.64
B3DB,GAT,64,16,0.0005,1e-05,0.2,3,0.46,0.61
B3DB,GAT,64,16,0.0005,1e-05,0.2,4,0.46,0.62
B3DB,GAT,64,16,0.0005,1e-05,0.5,2,0.43,0.6
B3DB,GAT,64,16,0.0005,1e-05,0.5,3,0.46,0.62
B3DB,GAT,64,16,0.0005,1e-05,0.5,4,0.44,0.61
B3DB,GAT,64,32,0.0005,0.0001,0.2,2,0.45,0.6
B3DB,GAT,64,32,0.0005,0.0001,0.2,3,0.47,0.64
B3DB,GAT,64,32,0.0005,0.0001,0.2,4,0.46,0.61
B3DB,GAT,64,32,0.0005,0.0001,0.5,2,0.46,0.61
B3DB,GAT,64,32,0.0005,0.0001,0.5,3,0.47,0.62
B3DB,GAT,64,32,0.0005,0.0001,0.5,4,0.45,0.63
B3DB,GAT,64,32,0.0005,1e-05,0.2,2,0.45,0.62
B3DB,GAT,64,32,0.0005,1e-05,0.2,3,0.46,0.61
B3DB,GAT,64,32,0.0005,1e-05,0.2,4,0.46,0.63
B3DB,GAT,64,32,0.0005,1e-05,0.5,2,0.45,0.63
B3DB,GAT,64,32,0.0005,1e-05,0.5,3,0.45,0.62
B3DB,GAT,64,32,0.0005,1e-05,0.5,4,0.45,0.6
B3DB,GIN,32,16,0.001,0.0001,0.2,2,0.47,0.63
B3DB,GIN,32,16,0.001,0.0001,0.2,3,0.47,0.65
B3DB,GIN,32,16,0.001,0.0001,0.2,4,0.46,0.64
B3DB,GIN,32,16,0.001,0.0001,0.5,2,0.45,0.61
B3DB,GIN,32,16,0.001,0.0001,0.5,3,0.45,0.6
B3DB,GIN,32,16,0.001,0.0001,0.5,4,0.46,0.62
B3DB,GIN,32,16,0.001,1e-05,0.2,2,0.51,0.66
B3DB,GIN,32,16,0.001,1e-05,0.2,3,0.46,0.63
B3DB,GIN,32,16,0.001,1e-05,0.2,4,0.46,0.64
B3DB,GIN,32,16,0.001,1e-05,0.5,2,0.46,0.63
B3DB,GIN,32,16,0.001,1e-05,0.5,3,0.49,0.66
B3DB,GIN,32,16,0.001,1e-05,0.5,4,0.45,0.61
B3DB,GIN,32,32,0.001,0.0001,0.2,2,0.47,0.65
B3DB,GIN,32,32,0.001,0.0001,0.2,3,0.45,0.62
B3DB,GIN,32,32,0.001,0.0001,0.2,4,0.49,0.64
B3DB,GIN,32,32,0.001,0.0001,0.5,2,0.46,0.64
B3DB,GIN,32,32,0.001,0.0001,0.5,3,0.47,0.61
B3DB,GIN,32,32,0.001,0.0001,0.5,4,0.46,0.61
B3DB,GIN,32,32,0.001,1e-05,0.2,2,0.47,0.63
B3DB,GIN,32,32,0.001,1e-05,0.2,3,0.51,0.65
B3DB,GIN,32,32,0.001,1e-05,0.2,4,0.46,0.62
B3DB,GIN,32,32,0.001,1e-05,0.5,2,0.45,0.61
B3DB,GIN,32,32,0.001,1e-05,0.5,3,0.43,0.59
B3DB,GIN,32,32,0.001,1e-05,0.5,4,0.51,0.71
B3DB,GIN,64,16,0.001,0.0001,0.2,2,0.5,0.64
B3DB,GIN,64,16,0.001,0.0001,0.2,3,0.46,0.63
B3DB,GIN,64,16,0.001,0.0001,0.2,4,0.46,0.61
B3DB,GIN,64,16,0.001,0.0001,0.5,2,0.49,0.65
B3DB,GIN,64,16,0.001,0.0001,0.5,3,0.5,0.65
B3DB,GIN,64,16,0.001,0.0001,0.5,4,0.52,0.66
B3DB,GIN,64,16,0.001,1e-05,0.2,2,0.44,0.62
B3DB,GIN,64,16,0.001,1e-05,0.2,3,0.48,0.62
B3DB,GIN,64,16,0.001,1e-05,0.2,4,0.45,0.63
B3DB,GIN,64,16,0.001,1e-05,0.5,2,0.46,0.62
B3DB,GIN,64,16,0.001,1e-05,0.5,3,0.49,0.64
B3DB,GIN,64,16,0.001,1e-05,0.5,4,0.46,0.61
B3DB,GIN,64,32,0.001,0.0001,0.2,2,0.49,0.65
B3DB,GIN,64,32,0.001,0.0001,0.2,3,0.46,0.63
B3DB,GIN,64,32,0.001,0.0001,0.2,4,0.49,0.68
B3DB,GIN,64,32,0.001,0.0001,0.5,2,0.46,0.64
B3DB,GIN,64,32,0.001,0.0001,0.5,3,0.47,0.64
B3DB,GIN,64,32,0.001,0.0001,0.5,4,0.48,0.61
B3DB,GIN,64,32,0.001,1e-05,0.2,2,0.46,0.64
B3DB,GIN,64,32,0.001,1e-05,0.2,3,0.46,0.6
B3DB,GIN,64,32,0.001,1e-05,0.2,4,0.51,0.67
B3DB,GIN,64,32,0.001,1e-05,0.5,2,0.47,0.61
B3DB,GIN,64,32,0.001,1e-05,0.5,3,0.48,0.62
B3DB,GIN,64,32,0.001,1e-05,0.5,4,0.46,0.62
B3DB,GIN,32,16,0.0005,0.0001,0.2,2,0.49,0.63
B3DB,GIN,32,16,0.0005,0.0001,0.2,3,0.46,0.64
B3DB,GIN,32,16,0.0005,0.0001,0.2,4,0.48,0.65
B3DB,GIN,32,16,0.0005,0.0001,0.5,2,0.47,0.66
B3DB,GIN,32,16,0.0005,0.0001,0.5,3,0.47,0.61
B3DB,GIN,32,16,0.0005,0.0001,0.5,4,0.52,0.65
B3DB,GIN,32,16,0.0005,1e-05,0.2,2,0.52,0.66
B3DB,GIN,32,16,0.0005,1e-05,0.2,3,0.47,0.62
B3DB,GIN,32,16,0.0005,1e-05,0.2,4,0.47,0.61
B3DB,GIN,32,16,0.0005,1e-05,0.5,2,0.46,0.62
B3DB,GIN,32,16,0.0005,1e-05,0.5,3,0.47,0.64
B3DB,GIN,32,16,0.0005,1e-05,0.5,4,0.43,0.59
B3DB,GIN,32,32,0.0005,0.0001,0.2,2,0.44,0.57
B3DB,GIN,32,32,0.0005,0.0001,0.2,3,0.47,0.62
B3DB,GIN,32,32,0.0005,0.0001,0.2,4,0.46,0.63
B3DB,GIN,32,32,0.0005,0.0001,0.5,2,0.49,0.62
B3DB,GIN,32,32,0.0005,0.0001,0.5,3,0.44,0.59
B3DB,GIN,32,32,0.0005,0.0001,0.5,4,0.55,0.69
B3DB,GIN,32,32,0.0005,1e-05,0.2,2,0.47,0.64
B3DB,GIN,32,32,0.0005,1e-05,0.2,3,0.47,0.62
B3DB,GIN,32,32,0.0005,1e-05,0.2,4,0.46,0.63
B3DB,GIN,32,32,0.0005,1e-05,0.5,2,0.5,0.7
