Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
ESOL,GCN,32,16,0.001,0.0001,0.2,2,0.88,1.11
ESOL,GCN,32,16,0.001,0.0001,0.2,3,0.82,1.07
ESOL,GCN,32,16,0.001,0.0001,0.2,4,0.77,0.98
ESOL,GCN,32,16,0.001,0.0001,0.5,2,0.83,1.1
ESOL,GCN,32,16,0.001,0.0001,0.5,3,0.83,1.07
ESOL,GCN,32,16,0.001,0.0001,0.5,4,0.88,1.1
ESOL,GCN,32,16,0.001,1e-05,0.2,2,0.83,1.11
ESOL,GCN,32,16,0.001,1e-05,0.2,3,0.77,0.97
ESOL,GCN,32,16,0.001,1e-05,0.2,4,0.76,0.99
ESOL,GCN,32,16,0.001,1e-05,0.5,2,0.81,1.05
ESOL,GCN,32,16,0.001,1e-05,0.5,3,0.9,1.16
ESOL,GCN,32,16,0.001,1e-05,0.5,4,0.86,1.11
ESOL,GCN,32,32,0.001,0.0001,0.2,2,0.84,1.1
ESOL,GCN,32,32,0.001,0.0001,0.2,3,0.84,1.09
ESOL,GCN,32,32,0.001,0.0001,0.2,4,0.81,1.05
ESOL,GCN,32,32,0.001,0.0001,0.5,2,0.81,1.09
ESOL,GCN,32,32,0.001,0.0001,0.5,3,0.85,1.09
ESOL,GCN,32,32,0.001,0.0001,0.5,4,0.89,1.14
ESOL,GCN,32,32,0.001,1e-05,0.2,2,0.82,1.07
ESOL,GCN,32,32,0.001,1e-05,0.2,3,0.88,1.11
ESOL,GCN,32,32,0.001,1e-05,0.2,4,0.84,1.06
ESOL,GCN,32,32,0.001,1e-05,0.5,2,0.82,1.07
ESOL,GCN,32,32,0.001,1e-05,0.5,3,0.83,1.08
ESOL,GCN,32,32,0.001,1e-05,0.5,4,0.91,1.18
ESOL,GCN,64,16,0.001,0.0001,0.2,2,0.78,1.01
ESOL,GCN,64,16,0.001,0.0001,0.2,3,0.8,1.05
ESOL,GCN,64,16,0.001,0.0001,0.2,4,0.79,1.02
ESOL,GCN,64,16,0.001,0.0001,0.5,2,0.77,1.01
ESOL,GCN,64,16,0.001,0.0001,0.5,3,0.79,1.02
ESOL,GCN,64,16,0.001,0.0001,0.5,4,0.82,1.06
ESOL,GCN,64,16,0.001,1e-05,0.2,2,0.77,0.98
ESOL,GCN,64,16,0.001,1e-05,0.2,3,0.74,0.98
ESOL,GCN,64,16,0.001,1e-05,0.2,4,0.76,1.0
ESOL,GCN,64,16,0.001,1e-05,0.5,2,0.8,1.01
ESOL,GCN,64,16,0.001,1e-05,0.5,3,0.79,1.03
ESOL,GCN,64,16,0.001,1e-05,0.5,4,0.77,1.01
ESOL,GCN,64,32,0.001,0.0001,0.2,2,0.83,1.09
ESOL,GCN,64,32,0.001,0.0001,0.2,3,0.8,1.06
ESOL,GCN,64,32,0.001,0.0001,0.2,4,0.75,0.99
ESOL,GCN,64,32,0.001,0.0001,0.5,2,0.82,1.09
ESOL,GCN,64,32,0.001,0.0001,0.5,3,0.82,1.08
ESOL,GCN,64,32,0.001,0.0001,0.5,4,0.85,1.08
ESOL,GCN,64,32,0.001,1e-05,0.2,2,0.8,1.05
ESOL,GCN,64,32,0.001,1e-05,0.2,3,0.78,1.01
ESOL,GCN,64,32,0.001,1e-05,0.2,4,0.82,1.08
ESOL,GCN,64,32,0.001,1e-05,0.5,2,0.8,1.04
ESOL,GCN,64,32,0.001,1e-05,0.5,3,0.82,1.06
ESOL,GCN,64,32,0.001,1e-05,0.5,4,0.79,1.05
ESOL,GCN,32,16,0.0005,0.0001,0.2,2,0.83,1.1
ESOL,GCN,32,16,0.0005,0.0001,0.2,3,0.78,1.03
ESOL,GCN,32,16,0.0005,0.0001,0.2,4,0.87,1.15
ESOL,GCN,32,16,0.0005,0.0001,0.5,2,0.92,1.18
ESOL,GCN,32,16,0.0005,0.0001,0.5,3,0.87,1.14
ESOL,GCN,32,16,0.0005,0.0001,0.5,4,0.88,1.13
ESOL,GCN,32,16,0.0005,1e-05,0.2,2,0.91,1.17
ESOL,GCN,32,16,0.0005,1e-05,0.2,3,0.78,1.04
ESOL,GCN,32,16,0.0005,1e-05,0.2,4,0.82,1.04
ESOL,GCN,32,16,0.0005,1e-05,0.5,2,0.94,1.18
ESOL,GCN,32,16,0.0005,1e-05,0.5,3,0.85,1.13
ESOL,GCN,32,16,0.0005,1e-05,0.5,4,0.93,1.16
ESOL,GCN,32,32,0.0005,0.0001,0.2,2,0.9,1.14
ESOL,GCN,32,32,0.0005,0.0001,0.2,3,0.83,1.07
ESOL,GCN,32,32,0.0005,0.0001,0.2,4,0.84,1.09
ESOL,GCN,32,32,0.0005,0.0001,0.5,2,0.93,1.19
ESOL,GCN,32,32,0.0005,0.0001,0.5,3,0.89,1.15
ESOL,GCN,32,32,0.0005,0.0001,0.5,4,0.89,1.14
ESOL,GCN,32,32,0.0005,1e-05,0.2,2,0.92,1.16
ESOL,GCN,32,32,0.0005,1e-05,0.2,3,0.85,1.12
ESOL,GCN,32,32,0.0005,1e-05,0.2,4,0.87,1.1
ESOL,GCN,32,32,0.0005,1e-05,0.5,2,0.88,1.15
ESOL,GCN,32,32,0.0005,1e-05,0.5,3,0.84,1.1
ESOL,GCN,32,32,0.0005,1e-05,0.5,4,0.9,1.13
ESOL,GCN,64,16,0.0005,0.0001,0.2,2,0.8,1.05
