Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
FreeSolv,GCN,32,32,0.001,0.0001,0.3,2,1.33,2.02
FreeSolv,GCN,32,32,0.001,0.0001,0.3,3,1.16,1.79
FreeSolv,GCN,64,32,0.001,0.0001,0.3,2,1.22,2.01
FreeSolv,GCN,64,32,0.001,0.0001,0.3,3,1.3,2.14
FreeSolv,GAT,32,32,0.001,0.0001,0.3,2,1.46,2.33
FreeSolv,GAT,32,32,0.001,0.0001,0.3,3,1.42,2.26
FreeSolv,GAT,64,32,0.001,0.0001,0.3,2,1.44,2.43
FreeSolv,GAT,64,32,0.001,0.0001,0.3,3,1.12,1.88
FreeSolv,GIN,32,32,0.001,0.0001,0.3,2,0.88,1.28
FreeSolv,GIN,32,32,0.001,0.0001,0.3,3,0.94,1.42
FreeSolv,GIN,64,32,0.001,0.0001,0.3,2,0.97,1.44
FreeSolv,GIN,64,32,0.001,0.0001,0.3,3,0.96,1.45
FreeSolv,GraphSAGE,32,32,0.001,0.0001,0.3,2,1.32,2.0
FreeSolv,GraphSAGE,32,32,0.001,0.0001,0.3,3,1.23,1.92
FreeSolv,GraphSAGE,64,32,0.001,0.0001,0.3,2,1.56,2.46
FreeSolv,GraphSAGE,64,32,0.001,0.0001,0.3,3,1.09,1.91
