Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
Lipophilicity,GCN,32,16,0.001,0.0001,0.2,2,0.81,1.02
Lipophilicity,GCN,32,16,0.001,0.0001,0.2,3,0.84,1.07
Lipophilicity,GCN,32,16,0.001,0.0001,0.2,4,0.83,1.02
Lipophilicity,GCN,32,16,0.001,0.0001,0.5,2,0.81,1.02
Lipophilicity,GCN,32,16,0.001,0.0001,0.5,3,0.81,1.02
Lipophilicity,GCN,32,16,0.001,0.0001,0.5,4,0.87,1.05
Lipophilicity,GCN,32,16,0.001,1e-05,0.2,2,0.8,1.01
Lipophilicity,GCN,32,16,0.001,1e-05,0.2,3,0.83,1.04
Lipophilicity,GCN,32,16,0.001,1e-05,0.2,4,0.8,1.0
Lipophilicity,GCN,32,16,0.001,1e-05,0.5,2,0.8,1.04
Lipophilicity,GCN,32,16,0.001,1e-05,0.5,3,0.8,1.01
Lipophilicity,GCN,32,16,0.001,1e-05,0.5,4,0.84,1.03
Lipophilicity,GCN,32,32,0.001,0.0001,0.2,2,0.84,1.05
Lipophilicity,GCN,32,32,0.001,0.0001,0.2,3,0.84,1.04
Lipophilicity,GCN,32,32,0.001,0.0001,0.2,4,0.85,1.07
Lipophilicity,GCN,32,32,0.001,0.0001,0.5,2,0.86,1.07
Lipophilicity,GCN,32,32,0.001,0.0001,0.5,3,0.82,1.0
Lipophilicity,GCN,32,32,0.001,0.0001,0.5,4,0.84,1.05
Lipophilicity,GCN,32,32,0.001,1e-05,0.2,2,0.82,1.02
Lipophilicity,GCN,32,32,0.001,1e-05,0.2,3,0.87,1.07
Lipophilicity,GCN,32,32,0.001,1e-05,0.2,4,0.84,1.04
Lipophilicity,GCN,32,32,0.001,1e-05,0.5,2,0.85,1.07
Lipophilicity,GCN,32,32,0.001,1e-05,0.5,3,0.82,1.01
Lipophilicity,GCN,32,32,0.001,1e-05,0.5,4,0.82,1.03
Lipophilicity,GCN,64,16,0.001,0.0001,0.2,2,0.8,1.02
Lipophilicity,GCN,64,16,0.001,0.0001,0.2,3,0.76,0.96
Lipophilicity,GCN,64,16,0.001,0.0001,0.2,4,0.8,0.99
Lipophilicity,GCN,64,16,0.001,0.0001,0.5,2,0.8,1.0
Lipophilicity,GCN,64,16,0.001,0.0001,0.5,3,0.77,0.96
Lipophilicity,GCN,64,16,0.001,0.0001,0.5,4,0.77,0.97
Lipophilicity,GCN,64,16,0.001,1e-05,0.2,2,0.77,0.99
Lipophilicity,GCN,64,16,0.001,1e-05,0.2,3,0.8,1.01
Lipophilicity,GCN,64,16,0.001,1e-05,0.2,4,0.82,1.02
Lipophilicity,GCN,64,16,0.001,1e-05,0.5,2,0.8,1.01
Lipophilicity,GCN,64,16,0.001,1e-05,0.5,3,0.79,0.98
Lipophilicity,GCN,64,16,0.001,1e-05,0.5,4,0.79,0.99
Lipophilicity,GCN,64,32,0.001,0.0001,0.2,2,0.83,1.01
Lipophilicity,GCN,64,32,0.001,0.0001,0.2,3,0.8,1.01
Lipophilicity,GCN,64,32,0.001,0.0001,0.2,4,0.76,0.97
Lipophilicity,GCN,64,32,0.001,0.0001,0.5,2,0.82,1.01
Lipophilicity,GCN,64,32,0.001,0.0001,0.5,3,0.81,1.01
Lipophilicity,GCN,64,32,0.001,0.0001,0.5,4,0.79,1.01
Lipophilicity,GCN,64,32,0.001,1e-05,0.2,2,0.84,1.05
Lipophilicity,GCN,64,32,0.001,1e-05,0.2,3,0.78,0.99
Lipophilicity,GCN,64,32,0.001,1e-05,0.2,4,0.8,1.0
Lipophilicity,GCN,64,32,0.001,1e-05,0.5,2,0.85,1.05
Lipophilicity,GCN,64,32,0.001,1e-05,0.5,3,0.79,0.97
Lipophilicity,GCN,64,32,0.001,1e-05,0.5,4,0.82,1.03
Lipophilicity,GCN,32,16,0.0005,0.0001,0.2,2,0.8,0.98
Lipophilicity,GCN,32,16,0.0005,0.0001,0.2,3,0.8,0.98
Lipophilicity,GCN,32,16,0.0005,0.0001,0.2,4,0.81,0.98
Lipophilicity,GCN,32,16,0.0005,0.0001,0.5,2,0.8,0.99
Lipophilicity,GCN,32,16,0.0005,0.0001,0.5,3,0.81,1.02
Lipophilicity,GCN,32,16,0.0005,0.0001,0.5,4,0.84,1.04
Lipophilicity,GCN,32,16,0.0005,1e-05,0.2,2,0.82,1.02
Lipophilicity,GCN,32,16,0.0005,1e-05,0.2,3,0.79,0.97
Lipophilicity,GCN,32,16,0.0005,1e-05,0.2,4,0.78,0.97
Lipophilicity,GCN,32,16,0.0005,1e-05,0.5,2,0.76,0.97
Lipophilicity,GCN,32,16,0.0005,1e-05,0.5,3,0.82,1.01
Lipophilicity,GCN,32,16,0.0005,1e-05,0.5,4,0.78,0.97
Lipophilicity,GCN,32,32,0.0005,0.0001,0.2,2,0.81,1.0
Lipophilicity,GCN,32,32,0.0005,0.0001,0.2,3,0.82,1.02
Lipophilicity,GCN,32,32,0.0005,0.0001,0.2,4,0.8,0.98
Lipophilicity,GCN,32,32,0.0005,0.0001,0.5,2,0.83,1.02
Lipophilicity,GCN,32,32,0.0005,0.0001,0.5,3,0.84,1.01
Lipophilicity,GCN,32,32,0.0005,0.0001,0.5,4,0.81,1.0
Lipophilicity,GCN,32,32,0.0005,1e-05,0.2,2,0.83,1.03
Lipophilicity,GCN,32,32,0.0005,1e-05,0.2,3,0.83,1.03
Lipophilicity,GCN,32,32,0.0005,1e-05,0.2,4,0.82,1.0
Lipophilicity,GCN,32,32,0.0005,1e-05,0.5,2,0.83,1.03
Lipophilicity,GCN,32,32,0.0005,1e-05,0.5,3,0.84,1.03
Lipophilicity,GCN,32,32,0.0005,1e-05,0.5,4,0.8,0.99
Lipophilicity,GCN,64,16,0.0005,0.0001,0.2,2,0.77,0.96
Lipophilicity,GCN,64,16,0.0005,0.0001,0.2,3,0.8,0.99
Lipophilicity,GCN,64,16,0.0005,0.0001,0.2,4,0.74,0.93
Lipophilicity,GCN,64,16,0.0005,0.0001,0.5,2,0.78,0.98
Lipophilicity,GCN,64,16,0.0005,0.0001,0.5,3,0.81,1.0
Lipophilicity,GCN,64,16,0.0005,0.0001,0.5,4,0.8,1.01
Lipophilicity,GCN,64,16,0.0005,1e-05,0.2,2,0.79,0.99
Lipophilicity,GCN,64,16,0.0005,1e-05,0.2,3,0.79,0.97
Lipophilicity,GCN,64,16,0.0005,1e-05,0.2,4,0.81,1.01
Lipophilicity,GCN,64,16,0.0005,1e-05,0.5,2,0.77,0.97
Lipophilicity,GCN,64,16,0.0005,1e-05,0.5,3,0.77,0.95
Lipophilicity,GCN,64,16,0.0005,1e-05,0.5,4,0.79,0.98
Lipophilicity,GCN,64,32,0.0005,0.0001,0.2,2,0.85,1.05
Lipophilicity,GCN,64,32,0.0005,0.0001,0.2,3,0.78,0.98
Lipophilicity,GCN,64,32,0.0005,0.0001,0.2,4,0.8,1.0
Lipophilicity,GCN,64,32,0.0005,0.0001,0.5,2,0.81,0.98
Lipophilicity,GCN,64,32,0.0005,0.0001,0.5,3,0.8,1.0
Lipophilicity,GCN,64,32,0.0005,0.0001,0.5,4,0.78,0.97
Lipophilicity,GCN,64,32,0.0005,1e-05,0.2,2,0.79,0.98
Lipophilicity,GCN,64,32,0.0005,1e-05,0.2,3,0.83,1.01
Lipophilicity,GCN,64,32,0.0005,1e-05,0.2,4,0.82,1.01
Lipophilicity,GCN,64,32,0.0005,1e-05,0.5,2,0.8,0.97
Lipophilicity,GCN,64,32,0.0005,1e-05,0.5,3,0.81,1.0
Lipophilicity,GCN,64,32,0.0005,1e-05,0.5,4,0.82,1.0
Lipophilicity,GAT,32,16,0.001,0.0001,0.2,2,0.81,1.01
Lipophilicity,GAT,32,16,0.001,0.0001,0.2,3,0.81,1.04
Lipophilicity,GAT,32,16,0.001,0.0001,0.2,4,0.81,0.99
Lipophilicity,GAT,32,16,0.001,0.0001,0.5,2,0.79,0.99
Lipophilicity,GAT,32,16,0.001,0.0001,0.5,3,0.83,1.03
Lipophilicity,GAT,32,16,0.001,0.0001,0.5,4,0.8,0.98
Lipophilicity,GAT,32,16,0.001,1e-05,0.2,2,0.77,0.99
Lipophilicity,GAT,32,16,0.001,1e-05,0.2,3,0.84,1.05
Lipophilicity,GAT,32,16,0.001,1e-05,0.2,4,0.8,1.03
Lipophilicity,GAT,32,16,0.001,1e-05,0.5,2,0.84,1.02
Lipophilicity,GAT,32,16,0.001,1e-05,0.5,3,0.82,1.01
Lipophilicity,GAT,32,16,0.001,1e-05,0.5,4,0.82,1.01
Lipophilicity,GAT,32,32,0.001,0.0001,0.2,2,0.82,1.03
Lipophilicity,GAT,32,32,0.001,0.0001,0.2,3,0.82,1.03
Lipophilicity,GAT,32,32,0.001,0.0001,0.2,4,0.87,1.07
Lipophilicity,GAT,32,32,0.001,0.0001,0.5,2,0.83,1.02
Lipophilicity,GAT,32,32,0.001,0.0001,0.5,3,0.8,1.01
