Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
RT,GCN,32,32,0.001,0.0001,0.3,2,70.66,100.07
RT,GCN,32,32,0.001,0.0001,0.3,3,73.74,101.43
RT,GCN,64,32,0.001,0.0001,0.3,2,72.81,104.2
RT,GCN,64,32,0.001,0.0001,0.3,3,69.6,99.53
RT,GAT,32,32,0.001,0.0001,0.3,2,73.4,98.78
RT,GAT,32,32,0.001,0.0001,0.3,3,68.19,97.17
RT,GAT,64,32,0.001,0.0001,0.3,2,73.15,105.61
RT,GAT,64,32,0.001,0.0001,0.3,3,71.77,101.77
RT,GIN,32,32,0.001,0.0001,0.3,2,68.62,91.29
RT,GIN,32,32,0.001,0.0001,0.3,3,72.38,94.05
RT,GIN,64,32,0.001,0.0001,0.3,2,75.7,102.37
RT,GIN,64,32,0.001,0.0001,0.3,3,74.09,101.0
RT,GraphSAGE,32,32,0.001,0.0001,0.3,2,65.98,94.25
RT,GraphSAGE,32,32,0.001,0.0001,0.3,3,72.27,100.86
RT,GraphSAGE,64,32,0.001,0.0001,0.3,2,69.96,100.61
RT,GraphSAGE,64,32,0.001,0.0001,0.3,3,72.76,102.5
