Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
FreeSolv,GCN,32,32,0.001,0.0001,0.3,2,1.07,2.33
FreeSolv,GCN,32,32,0.001,0.0001,0.3,3,0.98,1.67
FreeSolv,GCN,64,32,0.001,0.0001,0.3,2,0.8,1.46
FreeSolv,GCN,64,32,0.001,0.0001,0.3,3,0.99,1.43
FreeSolv,GAT,32,32,0.001,0.0001,0.3,2,1.17,1.96
FreeSolv,GAT,32,32,0.001,0.0001,0.3,3,1.68,2.97
FreeSolv,GAT,64,32,0.001,0.0001,0.3,2,1.08,2.02
FreeSolv,GAT,64,32,0.001,0.0001,0.3,3,1.22,2.34
FreeSolv,GIN,32,32,0.001,0.0001,0.3,2,1.01,1.44
FreeSolv,GIN,32,32,0.001,0.0001,0.3,3,0.74,1.25
FreeSolv,GIN,64,32,0.001,0.0001,0.3,2,0.93,1.35
FreeSolv,GIN,64,32,0.001,0.0001,0.3,3,1.09,1.47
FreeSolv,GraphSAGE,32,32,0.001,0.0001,0.3,2,0.93,1.5
FreeSolv,GraphSAGE,32,32,0.001,0.0001,0.3,3,1.12,1.6
FreeSolv,GraphSAGE,64,32,0.001,0.0001,0.3,2,1.04,1.66
FreeSolv,GraphSAGE,64,32,0.001,0.0001,0.3,3,0.79,1.19
