Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
Lipophilicity,GCN,32,16,0.001,0.0001,0.2,2,0.98,1.26
Lipophilicity,GCN,32,16,0.001,0.0001,0.2,3,0.89,1.12
Lipophilicity,GCN,32,16,0.001,0.0001,0.2,4,0.84,1.04
Lipophilicity,GCN,32,16,0.001,0.0001,0.5,2,0.98,1.23
Lipophilicity,GCN,32,16,0.001,0.0001,0.5,3,0.99,1.27
Lipophilicity,GCN,32,16,0.001,0.0001,0.5,4,1.0,1.22
Lipophilicity,GCN,32,16,0.001,1e-05,0.2,2,1.04,1.24
Lipophilicity,GCN,32,16,0.001,1e-05,0.2,3,0.94,1.18
Lipophilicity,GCN,32,16,0.001,1e-05,0.2,4,1.02,1.23
Lipophilicity,GCN,32,16,0.001,1e-05,0.5,2,0.94,1.17
Lipophilicity,GCN,32,16,0.001,1e-05,0.5,3,1.01,1.25
Lipophilicity,GCN,32,16,0.001,1e-05,0.5,4,1.03,1.24
Lipophilicity,GCN,32,32,0.001,0.0001,0.2,2,0.99,1.24
Lipophilicity,GCN,32,32,0.001,0.0001,0.2,3,1.0,1.22
Lipophilicity,GCN,32,32,0.001,0.0001,0.2,4,0.99,1.21
Lipophilicity,GCN,32,32,0.001,0.0001,0.5,2,1.02,1.25
Lipophilicity,GCN,32,32,0.001,0.0001,0.5,3,1.0,1.24
Lipophilicity,GCN,32,32,0.001,0.0001,0.5,4,1.0,1.25
Lipophilicity,GCN,32,32,0.001,1e-05,0.2,2,0.99,1.23
Lipophilicity,GCN,32,32,0.001,1e-05,0.2,3,0.99,1.24
Lipophilicity,GCN,32,32,0.001,1e-05,0.2,4,1.01,1.25
Lipophilicity,GCN,32,32,0.001,1e-05,0.5,2,1.0,1.25
Lipophilicity,GCN,32,32,0.001,1e-05,0.5,3,1.02,1.23
Lipophilicity,GCN,32,32,0.001,1e-05,0.5,4,0.98,1.24
Lipophilicity,GCN,64,16,0.001,0.0001,0.2,2,0.98,1.21
Lipophilicity,GCN,64,16,0.001,0.0001,0.2,3,0.94,1.18
Lipophilicity,GCN,64,16,0.001,0.0001,0.2,4,1.03,1.23
Lipophilicity,GCN,64,16,0.001,0.0001,0.5,2,0.98,1.23
Lipophilicity,GCN,64,16,0.001,0.0001,0.5,3,0.97,1.2
Lipophilicity,GCN,64,16,0.001,0.0001,0.5,4,1.01,1.23
Lipophilicity,GCN,64,16,0.001,1e-05,0.2,2,1.0,1.21
Lipophilicity,GCN,64,16,0.001,1e-05,0.2,3,0.68,0.87
Lipophilicity,GCN,64,16,0.001,1e-05,0.2,4,0.96,1.18
Lipophilicity,GCN,64,16,0.001,1e-05,0.5,2,1.03,1.33
Lipophilicity,GCN,64,16,0.001,1e-05,0.5,3,1.02,1.23
Lipophilicity,GCN,64,16,0.001,1e-05,0.5,4,0.95,1.2
Lipophilicity,GCN,64,32,0.001,0.0001,0.2,2,1.0,1.23
Lipophilicity,GCN,64,32,0.001,0.0001,0.2,3,1.0,1.21
Lipophilicity,GCN,64,32,0.001,0.0001,0.2,4,1.01,1.23
Lipophilicity,GCN,64,32,0.001,0.0001,0.5,2,0.99,1.22
Lipophilicity,GCN,64,32,0.001,0.0001,0.5,3,0.98,1.24
Lipophilicity,GCN,64,32,0.001,0.0001,0.5,4,1.0,1.22
Lipophilicity,GCN,64,32,0.001,1e-05,0.2,2,0.98,1.23
Lipophilicity,GCN,64,32,0.001,1e-05,0.2,3,0.99,1.23
Lipophilicity,GCN,64,32,0.001,1e-05,0.2,4,1.16,1.35
Lipophilicity,GCN,64,32,0.001,1e-05,0.5,2,1.01,1.22
Lipophilicity,GCN,64,32,0.001,1e-05,0.5,3,1.05,1.25
Lipophilicity,GCN,64,32,0.001,1e-05,0.5,4,1.01,1.24
Lipophilicity,GCN,32,16,0.0005,0.0001,0.2,2,0.97,1.25
Lipophilicity,GCN,32,16,0.0005,0.0001,0.2,3,0.97,1.22
Lipophilicity,GCN,32,16,0.0005,0.0001,0.2,4,0.98,1.26
Lipophilicity,GCN,32,16,0.0005,0.0001,0.5,2,1.03,1.26
Lipophilicity,GCN,32,16,0.0005,0.0001,0.5,3,1.0,1.24
Lipophilicity,GCN,32,16,0.0005,0.0001,0.5,4,1.0,1.21
Lipophilicity,GCN,32,16,0.0005,1e-05,0.2,2,0.95,1.19
Lipophilicity,GCN,32,16,0.0005,1e-05,0.2,3,0.98,1.21
Lipophilicity,GCN,32,16,0.0005,1e-05,0.2,4,0.98,1.25
Lipophilicity,GCN,32,16,0.0005,1e-05,0.5,2,1.03,1.24
Lipophilicity,GCN,32,16,0.0005,1e-05,0.5,3,0.99,1.22
Lipophilicity,GCN,32,16,0.0005,1e-05,0.5,4,0.98,1.21
Lipophilicity,GCN,32,32,0.0005,0.0001,0.2,2,0.97,1.24
Lipophilicity,GCN,32,32,0.0005,0.0001,0.2,3,1.04,1.26
Lipophilicity,GCN,32,32,0.0005,0.0001,0.2,4,0.99,1.21
Lipophilicity,GCN,32,32,0.0005,0.0001,0.5,2,0.98,1.22
Lipophilicity,GCN,32,32,0.0005,0.0001,0.5,3,1.03,1.25
Lipophilicity,GCN,32,32,0.0005,0.0001,0.5,4,1.0,1.24
Lipophilicity,GCN,32,32,0.0005,1e-05,0.2,2,1.01,1.25
Lipophilicity,GCN,32,32,0.0005,1e-05,0.2,3,0.97,1.19
Lipophilicity,GCN,32,32,0.0005,1e-05,0.2,4,1.0,1.24
Lipophilicity,GCN,32,32,0.0005,1e-05,0.5,2,1.01,1.25
Lipophilicity,GCN,32,32,0.0005,1e-05,0.5,3,1.01,1.24
Lipophilicity,GCN,32,32,0.0005,1e-05,0.5,4,1.02,1.25
Lipophilicity,GCN,64,16,0.0005,0.0001,0.2,2,0.98,1.21
Lipophilicity,GCN,64,16,0.0005,0.0001,0.2,3,0.89,1.1
Lipophilicity,GCN,64,16,0.0005,0.0001,0.2,4,1.05,1.26
Lipophilicity,GCN,64,16,0.0005,0.0001,0.5,2,1.01,1.21
Lipophilicity,GCN,64,16,0.0005,0.0001,0.5,3,0.99,1.22
Lipophilicity,GCN,64,16,0.0005,0.0001,0.5,4,0.98,1.22
Lipophilicity,GCN,64,16,0.0005,1e-05,0.2,2,0.97,1.23
Lipophilicity,GCN,64,16,0.0005,1e-05,0.2,3,1.02,1.23
Lipophilicity,GCN,64,16,0.0005,1e-05,0.2,4,0.77,0.96
Lipophilicity,GCN,64,16,0.0005,1e-05,0.5,2,1.01,1.22
Lipophilicity,GCN,64,16,0.0005,1e-05,0.5,3,0.97,1.21
Lipophilicity,GCN,64,16,0.0005,1e-05,0.5,4,1.02,1.24
Lipophilicity,GCN,64,32,0.0005,0.0001,0.2,2,0.99,1.25
Lipophilicity,GCN,64,32,0.0005,0.0001,0.2,3,1.01,1.23
Lipophilicity,GCN,64,32,0.0005,0.0001,0.2,4,0.99,1.21
Lipophilicity,GCN,64,32,0.0005,0.0001,0.5,2,1.01,1.29
Lipophilicity,GCN,64,32,0.0005,0.0001,0.5,3,0.99,1.23
Lipophilicity,GCN,64,32,0.0005,0.0001,0.5,4,1.04,1.25
Lipophilicity,GCN,64,32,0.0005,1e-05,0.2,2,0.96,1.24
Lipophilicity,GCN,64,32,0.0005,1e-05,0.2,3,0.99,1.2
Lipophilicity,GCN,64,32,0.0005,1e-05,0.2,4,0.98,1.23
Lipophilicity,GCN,64,32,0.0005,1e-05,0.5,2,0.99,1.22
Lipophilicity,GCN,64,32,0.0005,1e-05,0.5,3,0.98,1.22
Lipophilicity,GCN,64,32,0.0005,1e-05,0.5,4,0.98,1.23
Lipophilicity,GAT,32,16,0.001,0.0001,0.2,2,0.99,1.25
Lipophilicity,GAT,32,16,0.001,0.0001,0.2,3,0.71,0.92
Lipophilicity,GAT,32,16,0.001,0.0001,0.2,4,1.0,1.23
Lipophilicity,GAT,32,16,0.001,0.0001,0.5,2,0.99,1.24
Lipophilicity,GAT,32,16,0.001,0.0001,0.5,3,0.98,1.19
Lipophilicity,GAT,32,16,0.001,0.0001,0.5,4,1.03,1.24
Lipophilicity,GAT,32,16,0.001,1e-05,0.2,2,0.98,1.24
Lipophilicity,GAT,32,16,0.001,1e-05,0.2,3,0.99,1.22
Lipophilicity,GAT,32,16,0.001,1e-05,0.2,4,0.69,0.89
Lipophilicity,GAT,32,16,0.001,1e-05,0.5,2,0.98,1.19
Lipophilicity,GAT,32,16,0.001,1e-05,0.5,3,0.98,1.21
Lipophilicity,GAT,32,16,0.001,1e-05,0.5,4,0.98,1.22
Lipophilicity,GAT,32,32,0.001,0.0001,0.2,2,1.0,1.23
Lipophilicity,GAT,32,32,0.001,0.0001,0.2,3,0.98,1.21
Lipophilicity,GAT,32,32,0.001,0.0001,0.2,4,0.99,1.23
Lipophilicity,GAT,32,32,0.001,0.0001,0.5,2,1.02,1.22
Lipophilicity,GAT,32,32,0.001,0.0001,0.5,3,1.0,1.25
Lipophilicity,GAT,32,32,0.001,0.0001,0.5,4,1.04,1.24
Lipophilicity,GAT,32,32,0.001,1e-05,0.2,2,1.01,1.28
Lipophilicity,GAT,32,32,0.001,1e-05,0.2,3,1.0,1.23
Lipophilicity,GAT,32,32,0.001,1e-05,0.2,4,0.99,1.25
Lipophilicity,GAT,32,32,0.001,1e-05,0.5,2,0.99,1.23
Lipophilicity,GAT,32,32,0.001,1e-05,0.5,3,1.02,1.23
Lipophilicity,GAT,32,32,0.001,1e-05,0.5,4,1.0,1.23
Lipophilicity,GAT,64,16,0.001,0.0001,0.2,2,0.78,1.0
Lipophilicity,GAT,64,16,0.001,0.0001,0.2,3,0.62,0.79
Lipophilicity,GAT,64,16,0.001,0.0001,0.2,4,0.69,0.88
Lipophilicity,GAT,64,16,0.001,0.0001,0.5,2,1.0,1.22
Lipophilicity,GAT,64,16,0.001,0.0001,0.5,3,0.6,0.8
Lipophilicity,GAT,64,16,0.001,0.0001,0.5,4,0.58,0.76
