Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
METLIN,GCN,32,32,0.001,0.0001,0.3,2,75.6,109.62
METLIN,GCN,32,32,0.001,0.0001,0.3,3,71.47,103.6
METLIN,GCN,64,32,0.001,0.0001,0.3,2,69.17,103.48
METLIN,GCN,64,32,0.001,0.0001,0.3,3,56.6,93.57
METLIN,GAT,32,32,0.001,0.0001,0.3,2,67.77,103.44
METLIN,GAT,32,32,0.001,0.0001,0.3,3,64.92,98.32
METLIN,GAT,64,32,0.001,0.0001,0.3,2,62.38,97.82
METLIN,GAT,64,32,0.001,0.0001,0.3,3,53.65,91.72
METLIN,GIN,32,32,0.001,0.0001,0.3,2,58.6,94.66
METLIN,GIN,32,32,0.001,0.0001,0.3,3,58.43,92.1
METLIN,GIN,64,32,0.001,0.0001,0.3,2,53.99,89.57
METLIN,GIN,64,32,0.001,0.0001,0.3,3,50.35,89.54
METLIN,GraphSAGE,32,32,0.001,0.0001,0.3,2,70.43,102.91
METLIN,GraphSAGE,32,32,0.001,0.0001,0.3,3,67.13,100.23
METLIN,GraphSAGE,64,32,0.001,0.0001,0.3,2,57.52,94.04
METLIN,GraphSAGE,64,32,0.001,0.0001,0.3,3,52.83,90.59
