Data,Model,h_dim,b_size,lr,w_decay,d_out,layers,MAE,RMSE
RT,GCN,32,32,0.001,0.0001,0.3,2,77.02,99.98
RT,GCN,32,32,0.001,0.0001,0.3,3,82.76,107.97
RT,GCN,64,32,0.001,0.0001,0.3,2,79.39,101.84
RT,GCN,64,32,0.001,0.0001,0.3,3,74.14,98.39
RT,GAT,32,32,0.001,0.0001,0.3,2,73.2,95.86
RT,GAT,32,32,0.001,0.0001,0.3,3,67.42,93.02
RT,GAT,64,32,0.001,0.0001,0.3,2,78.59,104.73
RT,GAT,64,32,0.001,0.0001,0.3,3,68.17,96.18
RT,GIN,32,32,0.001,0.0001,0.3,2,66.16,101.21
RT,GIN,32,32,0.001,0.0001,0.3,3,67.53,96.35
RT,GIN,64,32,0.001,0.0001,0.3,2,65.39,100.17
RT,GIN,64,32,0.001,0.0001,0.3,3,63.28,99.9
RT,GraphSAGE,32,32,0.001,0.0001,0.3,2,81.52,105.22
RT,GraphSAGE,32,32,0.001,0.0001,0.3,3,74.66,97.85
RT,GraphSAGE,64,32,0.001,0.0001,0.3,2,71.01,91.21
RT,GraphSAGE,64,32,0.001,0.0001,0.3,3,62.78,87.93
