,Data,Model,RMSE
0,ESOL,LR,4.380 (0.000)
1,Lipophilicity,LR,1.011 (0.000)
2,RT,LR,601.600 (0.000)
3,B3DB,LR,1.426 (0.000)
4,FreeSolv,LR,2.116 (0.000)
5,ESOL,SVM,1.128 (0.000)
6,Lipophilicity,SVM,0.730 (0.000)
7,RT,SVM,120.555 (0.000)
8,B3DB,SVM,0.471 (0.000)
9,FreeSolv,SVM,1.512 (0.000)
10,ESOL,RF,1.569 (0.009)
11,Lipophilicity,RF,0.950 (0.001)
12,RT,RF,103.548 (0.456)
13,B3DB,RF,0.550 (0.002)
14,FreeSolv,RF,2.572 (0.015)
15,ESOL,XGB,1.615 (0.003)
16,Lipophilicity,XGB,1.057 (0.001)
17,RT,XGB,108.227 (0.387)
18,B3DB,XGB,0.580 (0.001)
19,FreeSolv,XGB,2.420 (0.006)
