,Data,Model,Error
0,ESOL,LR,83.186 (0.000)
1,Lipophilicity,LR,54.762 (0.000)
2,RT,LR,80.714 (0.000)
3,B3DB,LR,50.943 (0.000)
4,FreeSolv,LR,67.692 (0.000)
5,ESOL,SVM,53.982 (0.000)
6,Lipophilicity,SVM,36.905 (0.000)
7,RT,SVM,48.571 (0.000)
8,B3DB,SVM,18.868 (0.000)
9,FreeSolv,SVM,41.538 (0.000)
10,ESOL,RF,77.581 (1.104)
11,Lipophilicity,RF,52.381 (0.514)
12,RT,RF,60.714 (1.010)
13,B3DB,RF,30.503 (0.889)
14,FreeSolv,RF,75.897 (1.919)
15,ESOL,XGB,77.876 (1.252)
16,Lipophilicity,XGB,60.159 (0.736)
17,RT,XGB,68.095 (0.891)
18,B3DB,XGB,33.648 (1.177)
19,FreeSolv,XGB,69.231 (0.000)
